FeatureCode,Start Date ,End Date,Equity Loans,Loan category
E06000021,01 April 2013,30 September 2019,898,Equity Loans to First Time Buyers
E06000021,01 April 2013,30 September 2019,1072,Total Equity Loans
E07000198,01 April 2013,30 September 2019,81,Equity Loans to First Time Buyers
E07000198,01 April 2013,30 September 2019,104,Total Equity Loans
E07000193,01 April 2013,30 September 2019,708,Equity Loans to First Time Buyers
E07000193,01 April 2013,30 September 2019,975,Total Equity Loans
E07000197,01 April 2013,30 September 2019,687,Equity Loans to First Time Buyers
E07000197,01 April 2013,30 September 2019,987,Total Equity Loans
E07000035,01 April 2013,30 September 2019,119,Equity Loans to First Time Buyers
E07000035,01 April 2013,30 September 2019,179,Total Equity Loans
E07000196,01 April 2013,30 September 2019,125,Equity Loans to First Time Buyers
E07000196,01 April 2013,30 September 2019,195,Total Equity Loans
E06000051,01 April 2013,30 September 2019,1235,Equity Loans to First Time Buyers
E06000051,01 April 2013,30 September 2019,1681,Total Equity Loans
E07000195,01 April 2013,30 September 2019,289,Equity Loans to First Time Buyers
E07000195,01 April 2013,30 September 2019,346,Total Equity Loans
E06000049,01 April 2013,30 September 2019,1922,Equity Loans to First Time Buyers
E06000049,01 April 2013,30 September 2019,2579,Total Equity Loans
E09000021,01 April 2013,30 September 2019,313,Equity Loans to First Time Buyers
E09000021,01 April 2013,30 September 2019,324,Total Equity Loans
E09000027,01 April 2013,30 September 2019,183,Equity Loans to First Time Buyers
E09000027,01 April 2013,30 September 2019,193,Total Equity Loans
E07000207,01 April 2013,30 September 2019,93,Equity Loans to First Time Buyers
E07000207,01 April 2013,30 September 2019,104,Total Equity Loans
E07000209,01 April 2013,30 September 2019,107,Equity Loans to First Time Buyers
E07000209,01 April 2013,30 September 2019,134,Total Equity Loans
E07000210,01 April 2013,30 September 2019,121,Equity Loans to First Time Buyers
E07000210,01 April 2013,30 September 2019,138,Total Equity Loans
E07000213,01 April 2013,30 September 2019,215,Equity Loans to First Time Buyers
E07000213,01 April 2013,30 September 2019,240,Total Equity Loans
E07000212,01 April 2013,30 September 2019,286,Equity Loans to First Time Buyers
E07000212,01 April 2013,30 September 2019,322,Total Equity Loans
E07000217,01 April 2013,30 September 2019,367,Equity Loans to First Time Buyers
E07000217,01 April 2013,30 September 2019,412,Total Equity Loans
E07000208,01 April 2013,30 September 2019,179,Equity Loans to First Time Buyers
E07000208,01 April 2013,30 September 2019,210,Total Equity Loans
E09000029,01 April 2013,30 September 2019,615,Equity Loans to First Time Buyers
E09000029,01 April 2013,30 September 2019,656,Total Equity Loans
E07000211,01 April 2013,30 September 2019,604,Equity Loans to First Time Buyers
E07000211,01 April 2013,30 September 2019,744,Total Equity Loans
E09000024,01 April 2013,30 September 2019,371,Equity Loans to First Time Buyers
E09000024,01 April 2013,30 September 2019,382,Total Equity Loans
E06000016,01 April 2013,30 September 2019,738,Equity Loans to First Time Buyers
E06000016,01 April 2013,30 September 2019,850,Total Equity Loans
E07000129,01 April 2013,30 September 2019,692,Equity Loans to First Time Buyers
E07000129,01 April 2013,30 September 2019,1053,Total Equity Loans
E07000132,01 April 2013,30 September 2019,567,Equity Loans to First Time Buyers
E07000132,01 April 2013,30 September 2019,841,Total Equity Loans
E07000220,01 April 2013,30 September 2019,777,Equity Loans to First Time Buyers
E07000220,01 April 2013,30 September 2019,1083,Total Equity Loans
E07000130,01 April 2013,30 September 2019,1084,Equity Loans to First Time Buyers
E07000130,01 April 2013,30 September 2019,1620,Total Equity Loans
E07000134,01 April 2013,30 September 2019,912,Equity Loans to First Time Buyers
E07000134,01 April 2013,30 September 2019,1405,Total Equity Loans
E07000176,01 April 2013,30 September 2019,468,Equity Loans to First Time Buyers
E07000176,01 April 2013,30 September 2019,706,Total Equity Loans
E07000133,01 April 2013,30 September 2019,104,Equity Loans to First Time Buyers
E07000133,01 April 2013,30 September 2019,137,Total Equity Loans
E07000131,01 April 2013,30 September 2019,570,Equity Loans to First Time Buyers
E07000131,01 April 2013,30 September 2019,857,Total Equity Loans
E06000017,01 April 2013,30 September 2019,243,Equity Loans to First Time Buyers
E06000017,01 April 2013,30 September 2019,309,Total Equity Loans
E07000152,01 April 2013,30 September 2019,689,Equity Loans to First Time Buyers
E07000152,01 April 2013,30 September 2019,925,Total Equity Loans
E07000153,01 April 2013,30 September 2019,558,Equity Loans to First Time Buyers
E07000153,01 April 2013,30 September 2019,851,Total Equity Loans
E07000150,01 April 2013,30 September 2019,1021,Equity Loans to First Time Buyers
E07000150,01 April 2013,30 September 2019,1286,Total Equity Loans
E07000151,01 April 2013,30 September 2019,651,Equity Loans to First Time Buyers
E07000151,01 April 2013,30 September 2019,1033,Total Equity Loans
E07000135,01 April 2013,30 September 2019,125,Equity Loans to First Time Buyers
E07000135,01 April 2013,30 September 2019,157,Total Equity Loans
E07000039,01 April 2013,30 September 2019,1227,Equity Loans to First Time Buyers
E07000039,01 April 2013,30 September 2019,1652,Total Equity Loans
E09000005,01 April 2013,30 September 2019,486,Equity Loans to First Time Buyers
E09000005,01 April 2013,30 September 2019,507,Total Equity Loans
E09000009,01 April 2013,30 September 2019,850,Equity Loans to First Time Buyers
E09000009,01 April 2013,30 September 2019,879,Total Equity Loans
E09000015,01 April 2013,30 September 2019,871,Equity Loans to First Time Buyers
E09000015,01 April 2013,30 September 2019,906,Total Equity Loans
E09000017,01 April 2013,30 September 2019,1012,Equity Loans to First Time Buyers
E09000017,01 April 2013,30 September 2019,1074,Total Equity Loans
E07000102,01 April 2013,30 September 2019,153,Equity Loans to First Time Buyers
E07000102,01 April 2013,30 September 2019,189,Total Equity Loans
E07000098,01 April 2013,30 September 2019,392,Equity Loans to First Time Buyers
E07000098,01 April 2013,30 September 2019,425,Total Equity Loans
E09000003,01 April 2013,30 September 2019,1649,Equity Loans to First Time Buyers
E09000003,01 April 2013,30 September 2019,1691,Total Equity Loans
E06000022,01 April 2013,30 September 2019,644,Equity Loans to First Time Buyers
E06000022,01 April 2013,30 September 2019,819,Total Equity Loans
E06000054,01 April 2013,30 September 2019,2794,Equity Loans to First Time Buyers
E06000054,01 April 2013,30 September 2019,3543,Total Equity Loans
E06000025,01 April 2013,30 September 2019,1822,Equity Loans to First Time Buyers
E06000025,01 April 2013,30 September 2019,2203,Total Equity Loans
E07000189,01 April 2013,30 September 2019,630,Equity Loans to First Time Buyers
E07000189,01 April 2013,30 September 2019,776,Total Equity Loans
E07000187,01 April 2013,30 September 2019,469,Equity Loans to First Time Buyers
E07000187,01 April 2013,30 September 2019,605,Total Equity Loans
E07000188,01 April 2013,30 September 2019,714,Equity Loans to First Time Buyers
E07000188,01 April 2013,30 September 2019,876,Total Equity Loans
E09000019,01 April 2013,30 September 2019,116,Equity Loans to First Time Buyers
E09000019,01 April 2013,30 September 2019,118,Total Equity Loans
E09000007,01 April 2013,30 September 2019,97,Equity Loans to First Time Buyers
E09000007,01 April 2013,30 September 2019,100,Total Equity Loans
E09000012,01 April 2013,30 September 2019,403,Equity Loans to First Time Buyers
E09000012,01 April 2013,30 September 2019,489,Total Equity Loans
